Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/probe0_1,design_1_i/system_ila_0/inst/probe1_1[15:0],design_1_i/system_ila_0/inst/probe2_1[15:0],design_1_i/system_ila_0/inst/probe3_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX,HEX
0,0,0,0,0,0000,0000
1,1,0,0,0,0000,0000
2,2,0,0,0,0000,0000
3,3,0,0,0,0000,0000
4,4,0,0,0,0000,0000
5,5,0,0,0,0000,0000
6,6,0,0,0,0000,0000
7,7,0,0,0,0000,0000
8,8,0,0,0,0000,0000
9,9,0,0,0,0000,0000
10,10,0,0,0,0000,0000
11,11,0,0,0,0000,0000
12,12,0,0,0,0000,0000
13,13,0,0,0,0000,0000
14,14,0,0,0,0000,0000
15,15,0,0,0,0000,0000
16,16,0,0,0,0000,0000
17,17,0,0,0,0000,0000
18,18,0,0,0,0000,0000
19,19,0,0,0,0000,0000
20,20,0,0,0,0000,0000
21,21,0,0,0,0000,0000
22,22,0,0,0,0000,0000
23,23,0,0,0,0000,0000
24,24,0,0,0,0000,0000
25,25,0,0,0,0000,0000
26,26,0,0,0,0000,0000
27,27,0,0,0,0000,0000
28,28,0,0,0,0000,0000
29,29,0,0,0,0000,0000
30,30,0,0,0,0000,0000
31,31,0,0,0,0000,0000
32,32,0,0,0,0000,0000
33,33,0,0,0,0000,0000
34,34,0,0,0,0000,0000
35,35,0,0,0,0000,0000
36,36,0,0,0,0000,0000
37,37,0,0,0,0000,0000
38,38,0,0,0,0000,0000
39,39,0,0,0,0000,0000
40,40,0,0,0,0000,0000
41,41,0,0,0,0000,0000
42,42,0,0,0,0000,0000
43,43,0,0,0,0000,0000
44,44,0,0,0,0000,0000
45,45,0,0,0,0000,0000
46,46,0,0,0,0000,0000
47,47,0,0,0,0000,0000
48,48,0,0,0,0000,0000
49,49,0,0,0,0000,0000
50,50,0,0,0,0000,0000
51,51,0,0,0,0000,0000
52,52,0,0,0,0000,0000
53,53,0,0,0,0000,0000
54,54,0,0,0,0000,0000
55,55,0,0,0,0000,0000
56,56,0,0,0,0000,0000
57,57,0,0,0,0000,0000
58,58,0,0,0,0000,0000
59,59,0,0,0,0000,0000
60,60,0,0,0,0000,0000
61,61,0,0,0,0000,0000
62,62,0,0,0,0000,0000
63,63,0,0,0,0000,0000
64,64,0,0,0,0000,0000
65,65,0,0,0,0000,0000
66,66,0,0,0,0000,0000
67,67,0,0,0,0000,0000
68,68,0,0,0,0000,0000
69,69,0,0,0,0000,0000
70,70,0,0,0,0000,0000
71,71,0,0,0,0000,0000
72,72,0,0,0,0000,0000
73,73,0,0,0,0000,0000
74,74,0,0,0,0000,0000
75,75,0,0,0,0000,0000
76,76,0,0,0,0000,0000
77,77,0,0,0,0000,0000
78,78,0,0,0,0000,0000
79,79,0,0,0,0000,0000
80,80,0,0,0,0000,0000
81,81,0,0,0,0000,0000
82,82,0,0,0,0000,0000
83,83,0,0,0,0000,0000
84,84,0,0,0,0000,0000
85,85,0,0,0,0000,0000
86,86,0,0,0,0000,0000
87,87,0,0,0,0000,0000
88,88,0,0,0,0000,0000
89,89,0,0,0,0000,0000
90,90,0,0,0,0000,0000
91,91,0,0,0,0000,0000
92,92,0,0,0,0000,0000
93,93,0,0,0,0000,0000
94,94,0,0,0,0000,0000
95,95,0,0,0,0000,0000
96,96,0,0,0,0000,0000
97,97,0,0,0,0000,0000
98,98,0,0,0,0000,0000
99,99,0,0,0,0000,0000
100,100,0,0,0,0000,0000
101,101,0,0,0,0000,0000
102,102,0,0,0,0000,0000
103,103,0,0,0,0000,0000
104,104,0,0,0,0000,0000
105,105,0,0,0,0000,0000
106,106,0,0,0,0000,0000
107,107,0,0,0,0000,0000
108,108,0,0,0,0000,0000
109,109,0,0,0,0000,0000
110,110,0,0,0,0000,0000
111,111,0,0,0,0000,0000
112,112,0,0,0,0000,0000
113,113,0,0,0,0000,0000
114,114,0,0,0,0000,0000
115,115,0,0,0,0000,0000
116,116,0,0,0,0000,0000
117,117,0,0,0,0000,0000
118,118,0,0,0,0000,0000
119,119,0,0,0,0000,0000
120,120,0,0,0,0000,0000
121,121,0,0,0,0000,0000
122,122,0,0,0,0000,0000
123,123,0,0,0,0000,0000
124,124,0,0,0,0000,0000
125,125,0,0,0,0000,0000
126,126,0,0,0,0000,0000
127,127,0,0,0,0000,0000
128,128,0,0,0,0000,0000
129,129,0,0,0,0000,0000
130,130,0,0,0,0000,0000
131,131,0,0,0,0000,0000
132,132,0,0,0,0000,0000
133,133,0,0,0,0000,0000
134,134,0,0,0,0000,0000
135,135,0,0,0,0000,0000
136,136,0,0,0,0000,0000
137,137,0,0,0,0000,0000
138,138,0,0,0,0000,0000
139,139,0,0,0,0000,0000
140,140,0,0,0,0000,0000
141,141,0,0,0,0000,0000
142,142,0,0,0,0000,0000
143,143,0,0,0,0000,0000
144,144,0,0,0,0000,0000
145,145,0,0,0,0000,0000
146,146,0,0,0,0000,0000
147,147,0,0,0,0000,0000
148,148,0,0,0,0000,0000
149,149,0,0,0,0000,0000
150,150,0,0,0,0000,0000
151,151,0,0,0,0000,0000
152,152,0,0,0,0000,0000
153,153,0,0,0,0000,0000
154,154,0,0,0,0000,0000
155,155,0,0,0,0000,0000
156,156,0,0,0,0000,0000
157,157,0,0,0,0000,0000
158,158,0,0,0,0000,0000
159,159,0,0,0,0000,0000
160,160,0,0,0,0000,0000
161,161,0,0,0,0000,0000
162,162,0,0,0,0000,0000
